Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00    17537     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    17537     0.00     0.00  Sheep* std::__copy_move_a1<false, Sheep const*, Sheep*>(Sheep const*, Sheep const*, Sheep*)
  0.00      0.20     0.00    17537     0.00     0.00  Sheep* std::__copy_move_a2<false, Sheep const*, Sheep*>(Sheep const*, Sheep const*, Sheep*)
  0.00      0.20     0.00    17537     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > std::copy<__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    17537     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >)
  0.00      0.20     0.00    17537     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep>(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, std::allocator<Sheep>&)
  0.00      0.20     0.00    17515     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_M_erase_at_end(Sheep*)
  0.00      0.20     0.00    17515     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::clear()
  0.00      0.20     0.00    17502     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::base() const
  0.00      0.20     0.00    16930     0.00     0.00  void __gnu_cxx::new_allocator<Wolf>::construct<Wolf, Wolf const&>(Wolf*, Wolf const&)
  0.00      0.20     0.00    16930     0.00     0.00  void std::allocator_traits<std::allocator<Wolf> >::construct<Wolf, Wolf const&>(std::allocator<Wolf>&, Wolf*, Wolf const&)
  0.00      0.20     0.00    16930     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::push_back(Wolf const&)
  0.00      0.20     0.00    11749     0.00     0.00  Patch::setColor(Patch::Color)
  0.00      0.20     0.00    11005     0.00     0.00  bool __gnu_cxx::operator!=<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > const&, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > const&)
  0.00      0.20     0.00    10954     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::operator++()
  0.00      0.20     0.00    10954     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::operator*() const
  0.00      0.20     0.00    10954     0.00     0.00  void std::_Construct<Sheep, Sheep const&>(Sheep*, Sheep const&)
  0.00      0.20     0.00     8543     0.00     0.00  bool __gnu_cxx::operator!=<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >(__gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > > const&, __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > > const&)
  0.00      0.20     0.00     8505     0.00     0.00  Sheep* std::__niter_base<Sheep*>(Sheep*)
  0.00      0.20     0.00     8488     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::operator++()
  0.00      0.20     0.00     8488     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::operator*() const
  0.00      0.20     0.00     8488     0.00     0.00  void std::_Construct<Wolf, Wolf const&>(Wolf*, Wolf const&)
  0.00      0.20     0.00     7491     0.00     0.00  Wolf* std::__niter_base<Wolf*>(Wolf*)
  0.00      0.20     0.00     7320     0.00     0.00  __gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > >::base() const
  0.00      0.20     0.00     5240     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::size() const
  0.00      0.20     0.00     5220     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.20     0.00     4962     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::__normal_iterator(Wolf* const&)
  0.00      0.20     0.00     4188     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::_M_max_size() const
